MONTHS,DERMATITIS,ECZEMA,SCABIES,months
Jan-16,110,153,333,Jan
Feb-16,91,125,319,Feb
Mar-16,55,100,228,Mar
Apr-16,122,98,311,Apr
May-16,99,128,351,May
Jun-16,139,99,182,Jun
Jul-16,88,95,223,Jul
Aug-16,21,118,251,Aug
Sep-16,92,123,215,Sep
Oct-16,25,91,133,Oct
Nov-16,67,43,185,Nov
Dec-16,88,21,229,Dec
Jan-17,71,111,312,Jan
Feb-17,98,112,221,Feb
Mar-17,99,151,176,Mar
Apr-17,58,92,211,Apr
May-17,113,132,231,May
Jun-17,71,99,165,Jun
Jul-17,69,100,198,Jul
Aug-17,112,98,364,Aug
Sep-17,92,100,221,Sep
Oct-17,61,91,153,Oct
Nov-17,71,121,111,Nov
Dec-17,62,91,151,Dec
Jan-18,111,151,221,Jan
Feb-18,77,100,186,Feb
Mar-18,67,99,199,Mar
Apr-18,55,123,221,Apr
May-18,82,99,132,May
Jun-18,79,123,221,Jun
Jul-18,111,79,254,Jul
Aug-18,69,111,212,Aug
Sep-18,100,82,251,Sep
Oct-18,98,132,244,Oct
Nov-18,87,121,222,Nov
Dec-18,62,117,99,Dec
Jan-19,51,92,222,Jan
Feb-19,44,141,311,Feb
Mar-19,52,99,234,Mar
Apr-19,100,165,211,Apr
May-19,68,128,251,May
Jun-19,59,111,213,Jun
Jul-19,69,123,217,Jul
Aug-19,79,112,211,Aug
Sep-19,81,150,312,Sep
Oct-19,68,120,214,Oct
Nov-19,77,100,199,Nov
Dec-19,88,119,219,Dec
Jan-20,91,123,202,Jan
Feb-20,81,90,211,Feb
Mar-20,59,100,210,Mar
Apr-20,28,161,203,Apr
May-20,52,101,189,May
Jun-20,89,114,199,Jun
Jul-20,52,169,211,Jul
Aug-20,88,124,221,Aug
Sep-20,199,251,332,Sep
Oct-20,123,159,216,Oct
Nov-20,154,191,288,Nov
Dec-20,161,221,331,Dec
Jan-21,79,124,331,Jan
Feb-21,82,118,321,Feb
Mar-21,87,132,318,Mar
Apr-21,91,166,339,Apr
May-21,88,165,333,May
Jun-21,99,212,399,Jun
Jul-21,111,252,411,Jul
Aug-21,92,156,341,Aug
Sep-21,123,299,396,Sep
Oct-21,152,236,412,Oct
Nov-21,112,211,369,Nov
Dec-21,86,158,288,Dec
Jan-22,59,88,269,Jan
Feb-22,66,99,211,Feb
Mar-22,91,169,321,Mar
Apr-22,88,161,312,Apr
May-22,101,211,398,May
Jun-22,100,176,368,Jun
Jul-22,97,100,128,Jul
Aug-22,88,179,379,Aug
Sep-22,96,199,398,Sep
Oct-22,89,177,351,Oct
Nov-22,84,165,339,Nov
Dec-22,72,129,268,Dec
Jan-23,83,164,341,Jan
Feb-23,91,182,311,Feb
Mar-23,82,150,264,Mar
Apr-23,76,111,249,Apr
May-23,120,211,333,May
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
